JD V-C s1 V-K1 s2 V-K2 s3 C1-K1 s4 C1-K2 s5 C2-K1 s6 C2-K2 s7 C3-K1 s8 C3-K2 s9 K1-K2 s10
Aperture: 8, Filter: L, JD: geocentric
2460492.5066435 0.87713 0.00310 1.07185 0.00320 1.17092 0.00317 -0.42813 0.00172 -0.32907 0.00166 0.92140 0.00289 1.02047 0.00285 0.56174 0.00241 0.66080 0.00237 0.09907 0.00186
2460492.5095255 0.86034 0.00307 1.05557 0.00317 1.15473 0.00314 -0.43106 0.00171 -0.33190 0.00164 0.93133 0.00288 1.03049 0.00284 0.56410 0.00240 0.66327 0.00236 0.09916 0.00184
2460492.5131713 0.83531 0.00297 1.02782 0.00308 1.12508 0.00304 -0.43293 0.00171 -0.33566 0.00163 0.92826 0.00286 1.02552 0.00282 0.55949 0.00237 0.65676 0.00231 0.09727 0.00183
2460492.5146296 0.81759 0.00296 1.00918 0.00306 1.10594 0.00303 -0.43430 0.00169 -0.33754 0.00164 0.93254 0.00288 1.02930 0.00285 0.55601 0.00237 0.65277 0.00233 0.09676 0.00182
2460492.5160648 0.79337 0.00293 0.99117 0.00305 1.08685 0.00301 -0.42732 0.00173 -0.33164 0.00166 0.92291 0.00285 1.01859 0.00280 0.57163 0.00240 0.66731 0.00235 0.09568 0.00186
2460492.5175231 0.77945 0.00289 0.97239 0.00300 1.07066 0.00297 -0.43479 0.00171 -0.33652 0.00166 0.93031 0.00287 1.02858 0.00283 0.56451 0.00241 0.66278 0.00238 0.09827 0.00186
2460492.5189699 0.75412 0.00286 0.95023 0.00298 1.05022 0.00294 -0.42644 0.00175 -0.32646 0.00168 0.92800 0.00296 1.02799 0.00292 0.55868 0.00244 0.65867 0.00239 0.09999 0.00188
2460492.5204282 0.74373 0.00293 0.93239 0.00304 1.03219 0.00300 -0.43442 0.00174 -0.33462 0.00167 0.91549 0.00295 1.01529 0.00291 0.55615 0.00249 0.65595 0.00244 0.09980 0.00189
2460492.5218750 0.73956 0.00294 0.92881 0.00306 1.03266 0.00302 -0.43767 0.00177 -0.33382 0.00169 0.92151 0.00299 1.02536 0.00295 0.56245 0.00245 0.66630 0.00240 0.10385 0.00191
2460492.5233218 0.74049 0.00294 0.93798 0.00305 1.03214 0.00302 -0.42853 0.00176 -0.33437 0.00171 0.93412 0.00298 1.02827 0.00295 0.56531 0.00246 0.65946 0.00243 0.09416 0.00191
2460492.5247685 0.74472 0.00293 0.94085 0.00305 1.03486 0.00302 -0.42675 0.00176 -0.33273 0.00171 0.92859 0.00294 1.02261 0.00291 0.55909 0.00245 0.65310 0.00241 0.09401 0.00191
2460492.5262153 0.74892 0.00297 0.94488 0.00308 1.04321 0.00304 -0.42812 0.00177 -0.32979 0.00169 0.92792 0.00299 1.02625 0.00295 0.56225 0.00251 0.66058 0.00245 0.09833 0.00190
2460492.5276620 0.76444 0.00293 0.95476 0.00305 1.05543 0.00300 -0.43121 0.00177 -0.33054 0.00170 0.91685 0.00296 1.01751 0.00292 0.55419 0.00248 0.65486 0.00243 0.10067 0.00190
2460492.5291088 0.77378 0.00300 0.96572 0.00311 1.06742 0.00309 -0.43184 0.00175 -0.33014 0.00170 0.92351 0.00297 1.02521 0.00295 0.55780 0.00245 0.65950 0.00241 0.10170 0.00191
2460492.5305556 0.78545 0.00303 0.98252 0.00314 1.07633 0.00312 -0.42883 0.00174 -0.33501 0.00170 0.92771 0.00291 1.02153 0.00288 0.56884 0.00246 0.66266 0.00243 0.09382 0.00190
2460492.5327546 0.80121 0.00302 1.00100 0.00312 1.09992 0.00310 -0.42617 0.00174 -0.32724 0.00170 0.93513 0.00294 1.03406 0.00292 0.56837 0.00245 0.66729 0.00242 0.09892 0.00189
2460492.5342014 0.81423 0.00310 1.01466 0.00320 1.11227 0.00315 -0.42340 0.00176 -0.32579 0.00168 0.93180 0.00300 1.02941 0.00295 0.56651 0.00247 0.66412 0.00242 0.09761 0.00187
2460492.5356366 0.82951 0.00311 1.02133 0.00322 1.12291 0.00319 -0.43222 0.00175 -0.33064 0.00169 0.91969 0.00297 1.02128 0.00294 0.56096 0.00251 0.66254 0.00246 0.10158 0.00191
2460492.5370949 0.84724 0.00316 1.04853 0.00328 1.14536 0.00324 -0.42032 0.00176 -0.32348 0.00170 0.93166 0.00300 1.02850 0.00296 0.56258 0.00246 0.65941 0.00242 0.09683 0.00192
2460492.5385417 0.85341 0.00313 1.04303 0.00324 1.14961 0.00320 -0.43414 0.00176 -0.32756 0.00169 0.91698 0.00299 1.02356 0.00295 0.55841 0.00248 0.66499 0.00243 0.10658 0.00190
2460492.5399884 0.85916 0.00316 1.05752 0.00325 1.15017 0.00323 -0.42759 0.00172 -0.33495 0.00167 0.93138 0.00294 1.02403 0.00291 0.56861 0.00243 0.66125 0.00240 0.09264 0.00187
2460492.5414352 0.85577 0.00308 1.05265 0.00320 1.15072 0.00317 -0.42574 0.00174 -0.32767 0.00169 0.92400 0.00286 1.02208 0.00283 0.56302 0.00242 0.66109 0.00238 0.09807 0.00188
2460492.5428935 0.86649 0.00313 1.06577 0.00323 1.15881 0.00319 -0.42612 0.00172 -0.33308 0.00166 0.92981 0.00293 1.02285 0.00289 0.56987 0.00244 0.66291 0.00240 0.09304 0.00186
2460492.5443403 0.87573 0.00309 1.07185 0.00319 1.17221 0.00316 -0.42679 0.00169 -0.32643 0.00163 0.92467 0.00284 1.02503 0.00281 0.56197 0.00240 0.66233 0.00236 0.10036 0.00183
2460492.5457870 0.87794 0.00305 1.07678 0.00314 1.17625 0.00312 -0.42596 0.00170 -0.32649 0.00166 0.93346 0.00283 1.03293 0.00281 0.56503 0.00239 0.66451 0.00236 0.09947 0.00183
2460492.5472222 0.88774 0.00310 1.07998 0.00319 1.18081 0.00317 -0.43242 0.00168 -0.33158 0.00164 0.92403 0.00285 1.02486 0.00282 0.56010 0.00237 0.66093 0.00234 0.10083 0.00182
2460492.5486806 0.88457 0.00308 1.08403 0.00319 1.18287 0.00315 -0.42407 0.00169 -0.32523 0.00162 0.93196 0.00281 1.03080 0.00277 0.56401 0.00237 0.66285 0.00232 0.09884 0.00182
2460492.5501273 0.88717 0.00301 1.08340 0.00310 1.18165 0.00307 -0.42775 0.00167 -0.32950 0.00161 0.92233 0.00284 1.02057 0.00280 0.56650 0.00235 0.66475 0.00231 0.09825 0.00179
2460492.5515741 0.88591 0.00303 1.07959 0.00314 1.18218 0.00311 -0.43157 0.00167 -0.32898 0.00162 0.92138 0.00277 1.02396 0.00274 0.56595 0.00231 0.66854 0.00227 0.10259 0.00180
2460492.5537616 0.89189 0.00305 1.08574 0.00315 1.18072 0.00312 -0.42895 0.00166 -0.33397 0.00160 0.92119 0.00276 1.01616 0.00273 0.56027 0.00233 0.65525 0.00229 0.09498 0.00181
2460492.5552083 0.89023 0.00301 1.08862 0.00311 1.17980 0.00309 -0.42452 0.00166 -0.33334 0.00160 0.92756 0.00277 1.01874 0.00274 0.56375 0.00234 0.65493 0.00231 0.09118 0.00179
2460492.5566667 0.87773 0.00298 1.07400 0.00308 1.16772 0.00306 -0.42882 0.00166 -0.33511 0.00162 0.92758 0.00280 1.02129 0.00278 0.56554 0.00231 0.65926 0.00228 0.09372 0.00181
2460492.5581134 0.88391 0.00300 1.07567 0.00310 1.17262 0.00307 -0.43391 0.00164 -0.33695 0.00159 0.92086 0.00280 1.01781 0.00277 0.56409 0.00230 0.66105 0.00227 0.09696 0.00178
2460492.5595602 0.86640 0.00301 1.06177 0.00311 1.16474 0.00308 -0.43042 0.00166 -0.32745 0.00160 0.92829 0.00281 1.03126 0.00277 0.56522 0.00236 0.66819 0.00232 0.10297 0.00179
2460492.5610069 0.85131 0.00291 1.04844 0.00301 1.15005 0.00298 -0.42564 0.00165 -0.32403 0.00160 0.92017 0.00280 1.02178 0.00277 0.56656 0.00234 0.66817 0.00230 0.10161 0.00179
2460492.5624537 0.84066 0.00296 1.03737 0.00307 1.14062 0.00303 -0.42737 0.00168 -0.32412 0.00162 0.92415 0.00282 1.02740 0.00278 0.56624 0.00232 0.66949 0.00228 0.10325 0.00181
2460492.5639005 0.81587 0.00293 1.01714 0.00304 1.11350 0.00300 -0.41991 0.00169 -0.32356 0.00163 0.92773 0.00280 1.02409 0.00277 0.56430 0.00238 0.66066 0.00234 0.09636 0.00182
2460492.5667940 0.78450 0.00290 0.98050 0.00301 1.07897 0.00298 -0.42853 0.00169 -0.33006 0.00164 0.92976 0.00283 1.02823 0.00281 0.56214 0.00238 0.66061 0.00235 0.09847 0.00184
2460492.5682523 0.75767 0.00287 0.95946 0.00299 1.05277 0.00295 -0.42357 0.00171 -0.33027 0.00164 0.93654 0.00285 1.02985 0.00281 0.56931 0.00242 0.66262 0.00237 0.09331 0.00184
2460492.5696991 0.74478 0.00285 0.94483 0.00296 1.03951 0.00292 -0.42533 0.00171 -0.33066 0.00165 0.93112 0.00283 1.02580 0.00279 0.57022 0.00242 0.66490 0.00238 0.09468 0.00184
2460492.5711343 0.72343 0.00286 0.92190 0.00297 1.01592 0.00293 -0.42688 0.00172 -0.33286 0.00166 0.92555 0.00294 1.01957 0.00290 0.57145 0.00244 0.66547 0.00240 0.09402 0.00186
2460492.5725926 0.72337 0.00287 0.91593 0.00300 1.01496 0.00296 -0.42956 0.00173 -0.33054 0.00166 0.92482 0.00290 1.02385 0.00286 0.55382 0.00240 0.65285 0.00235 0.09902 0.00187
2460492.5747685 0.72674 0.00290 0.91935 0.00302 1.02441 0.00298 -0.43169 0.00175 -0.32662 0.00168 0.92152 0.00295 1.02658 0.00291 0.56165 0.00246 0.66671 0.00242 0.10506 0.00189
2460492.5762269 0.73561 0.00299 0.92666 0.00310 1.03220 0.00307 -0.42937 0.00175 -0.32383 0.00169 0.91849 0.00303 1.02403 0.00299 0.55151 0.00246 0.65706 0.00241 0.10554 0.00191
2460492.5776736 0.75613 0.00305 0.95673 0.00317 1.05419 0.00311 -0.42149 0.00179 -0.32403 0.00169 0.92710 0.00305 1.02456 0.00299 0.56587 0.00249 0.66333 0.00242 0.09746 0.00192
2460492.5791204 0.76566 0.00301 0.96208 0.00313 1.06109 0.00308 -0.42622 0.00179 -0.32722 0.00171 0.92531 0.00302 1.02431 0.00297 0.56133 0.00255 0.66034 0.00250 0.09900 0.00193
2460492.5805787 0.78789 0.00313 0.98568 0.00324 1.07645 0.00322 -0.42458 0.00178 -0.33380 0.00174 0.92452 0.00304 1.01530 0.00302 0.56357 0.00254 0.65435 0.00250 0.09078 0.00195
2460492.5820255 0.79783 0.00311 0.99473 0.00321 1.09270 0.00317 -0.42738 0.00177 -0.32941 0.00170 0.92998 0.00307 1.02794 0.00303 0.56290 0.00253 0.66087 0.00248 0.09797 0.00191
